Division,Team,W,L,W-L%,GB
American League Central,Cleveland Guardians,88,74,0.543,-
American League Central,Detroit Tigers,87,75,0.537,1.0
American League Central,Kansas City Royals,82,80,0.506,6.0
American League Central,Minnesota Twins,70,92,0.432,18.0
American League Central,Chicago White Sox,60,102,0.37,28.0
American League East,Toronto Blue Jays,94,68,0.58,-
American League East,New York Yankees,94,68,0.58,-
American League East,Boston Red Sox,89,73,0.549,5.0
American League East,Tampa Bay Rays,77,85,0.475,17.0
American League East,Baltimore Orioles,75,87,0.463,19.0
American League West,Seattle Mariners,90,72,0.556,-
American League West,Houston Astros,87,75,0.537,3.0
American League West,Texas Rangers,81,81,0.5,9.0
American League West,Athletics,76,86,0.469,14.0
American League West,Los Angeles Angels,72,90,0.444,18.0
National League Central,Milwaukee Brewers,97,65,0.599,-
National League Central,Chicago Cubs,92,70,0.568,5.0
National League Central,Cincinnati Reds,83,79,0.512,14.0
National League Central,St. Louis Cardinals,78,84,0.481,19.0
National League Central,Pittsburgh Pirates,71,91,0.438,26.0
National League East,Philadelphia Phillies,96,66,0.593,-
National League East,New York Mets,83,79,0.512,13.0
National League East,Miami Marlins,79,83,0.488,17.0
National League East,Atlanta Braves,76,86,0.469,20.0
National League East,Washington Nationals,66,96,0.407,30.0
National League West,Los Angeles Dodgers,93,69,0.574,-
National League West,San Diego Padres,90,72,0.556,3.0
National League West,San Francisco Giants,81,81,0.5,12.0
National League West,Arizona Diamondbacks,80,82,0.494,13.0
National League West,Colorado Rockies,43,119,0.265,50.0
