age,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,name,team
29,55,22,12,9,4,0,1,19,3,0,26,2,.342,76,.383,.434,.817,1,4,.800,.200,1,287,84,33,8,27,3,0,.446,1.83,0,76.00,Bryce Johnson,San Diego Padres
26,20,10,15,5,1,3,0,13,2,0,19,0,.333,57,.356,.456,.812,0,6,1.000,.000,0,224,59,26,4,21,0,0,.432,0.67,0,-.--,Jonny DeLuca,Tampa Bay Rays
26,41,20,18,12,4,0,4,27,4,0,32,3,.333,96,.379,.500,.879,2,1,.333,.667,2,376,104,48,14,34,1,0,.431,1.11,0,24.00,Joey Loperfido,Toronto Blue Jays
33,152,84,125,137,30,2,53,160,124,36,179,7,.331,541,.457,.688,1.145,5,12,.706,.294,16,2631,679,372,114,205,0,7,.376,0.67,0,10.21,Aaron Judge,New York Yankees
30,94,87,85,36,17,1,10,49,17,1,102,1,.318,321,.352,.470,.822,0,1,1.000,.000,8,1214,341,151,44,118,0,2,.348,1.02,0,32.10,Miguel Andujar,Cincinnati Reds
27,106,64,85,56,22,0,14,107,41,3,117,8,.316,370,.393,.489,.882,2,0,.000,1.000,9,1717,422,181,59,154,0,3,.409,0.75,0,26.43,Jonathan Aranda,Tampa Bay Rays
27,139,171,142,78,44,1,18,91,40,2,181,3,.311,582,.357,.483,.840,3,4,.571,.429,17,2308,628,281,94,214,0,3,.342,1.20,0,32.33,Bo Bichette,Toronto Blue Jays
23,125,179,120,62,26,0,13,39,27,1,151,7,.311,486,.355,.444,.799,2,5,.714,.286,16,1735,523,216,63,178,2,1,.317,1.49,0,37.38,Jacob Wilson,Athletics
35,140,105,132,106,27,1,32,111,69,3,154,8,.309,498,.399,.560,.959,1,18,.947,.053,14,2307,586,279,84,183,0,4,.340,0.80,7,15.56,George Springer,Toronto Blue Jays
28,42,24,23,11,8,1,4,20,3,0,29,0,.309,94,.323,.543,.866,0,0,.---,.---,3,375,99,51,14,25,0,2,.347,1.04,0,23.50,Carlos Cortes,Athletics
28,96,84,59,47,23,3,9,81,18,1,96,3,.305,315,.343,.483,.826,5,6,.545,.455,8,1238,341,152,53,130,0,5,.378,1.42,0,35.00,Romy Gonzalez,Boston Red Sox
27,125,137,116,68,30,2,17,93,35,2,150,12,.304,493,.363,.477,.840,2,20,.909,.091,9,1779,543,235,62,143,1,2,.345,1.18,0,29.00,Jeremy Peña,Houston Astros
32,141,159,146,94,31,7,15,107,43,1,179,5,.304,589,.355,.457,.812,7,36,.837,.163,11,2407,639,269,69,221,0,2,.350,1.09,0,39.27,Trea Turner,Philadelphia Phillies
22,49,49,50,25,14,0,4,29,19,0,55,5,.302,182,.382,.445,.827,3,14,.824,.176,4,774,207,81,28,82,0,1,.340,0.98,0,45.50,Luke Keaschall,Minnesota Twins
27,82,55,59,30,11,0,11,59,20,0,73,3,.300,243,.358,.481,.839,1,3,.750,.250,6,1028,269,117,32,92,0,2,.354,0.93,0,22.09,Dominic Canzone,Seattle Mariners
33,150,193,128,79,29,1,25,92,57,4,175,6,.300,583,.366,.482,.848,1,3,.750,.250,12,2525,651,281,83,209,0,5,.318,1.51,0,23.32,Yandy Díaz,Tampa Bay Rays
21,20,17,13,12,6,0,3,12,9,0,18,0,.300,60,.391,.550,.941,0,0,.---,.---,1,293,69,33,13,26,0,0,.333,1.31,0,20.00,Carter Jensen,Kansas City Royals
22,91,73,100,51,15,11,9,56,21,0,96,4,.299,321,.347,.498,.845,6,8,.571,.429,5,1306,351,160,41,138,1,3,.336,0.73,1,35.67,Daylen Lile,Washington Nationals
